rep,size,num_streams,block_size,section,dur
0,1024,16,1024,total,3.868800e-04
0,1024,16,1024,stream-13,1.465600e-05
0,1024,16,1024,stream-0,1.638400e-05
0,1024,16,1024,stream-1,1.600000e-05
0,1024,16,1024,stream-2,1.312000e-05
0,1024,16,1024,stream-3,1.427200e-05
0,1024,16,1024,stream-4,1.433600e-05
0,1024,16,1024,stream-9,1.331200e-05
0,1024,16,1024,stream-5,1.328000e-05
0,1024,16,1024,stream-7,1.366400e-05
0,1024,16,1024,stream-6,1.270400e-05
0,1024,16,1024,stream-15,1.843200e-05
0,1024,16,1024,stream-8,1.433600e-05
0,1024,16,1024,stream-10,1.331200e-05
0,1024,16,1024,stream-11,1.228800e-05
0,1024,16,1024,stream-12,1.868800e-05
0,1024,32,32,total,1.011712e-03
0,1024,32,32,stream-31,1.926400e-05
0,1024,32,32,stream-30,1.382400e-05
0,1024,32,32,stream-12,1.388800e-05
0,1024,32,32,stream-16,1.366400e-05
0,1024,32,32,stream-10,1.363200e-05
0,1024,32,32,stream-8,1.433600e-05
0,1024,32,32,stream-29,1.302400e-05
0,1024,32,32,stream-15,1.414400e-05
0,1024,32,32,stream-6,1.430400e-05
0,1024,32,32,stream-7,1.292800e-05
0,1024,32,32,stream-5,1.430400e-05
0,1024,32,32,stream-26,1.420800e-05
0,1024,32,32,stream-19,1.315200e-05
0,1024,32,32,stream-9,1.420800e-05
0,1024,32,32,stream-11,1.424000e-05
0,1024,32,32,stream-28,1.241600e-05
0,1024,32,32,stream-24,1.305600e-05
0,1024,32,32,stream-4,1.392000e-05
0,1024,32,32,stream-3,1.369600e-05
0,1024,32,32,stream-17,1.420800e-05
0,1024,32,32,stream-2,1.433600e-05
0,1024,32,32,stream-20,1.337600e-05
0,1024,32,32,stream-1,1.552000e-05
0,1024,32,32,stream-0,1.996800e-05
0,1024,32,32,stream-13,1.286400e-05
0,1024,32,32,stream-23,1.392000e-05
0,1024,32,32,stream-14,1.433600e-05
0,1024,32,32,stream-25,1.257600e-05
0,1024,32,32,stream-22,1.372800e-05
0,1024,32,32,stream-18,1.296000e-05
0,1024,32,32,stream-21,1.283200e-05
0,1024,32,32,stream-27,1.424000e-05
0,1024,32,64,total,7.984960e-04
0,1024,32,64,stream-31,2.048000e-05
0,1024,32,64,stream-30,1.356800e-05
0,1024,32,64,stream-12,1.302400e-05
0,1024,32,64,stream-16,1.408000e-05
0,1024,32,64,stream-10,1.369600e-05
0,1024,32,64,stream-8,1.408000e-05
0,1024,32,64,stream-29,1.350400e-05
0,1024,32,64,stream-15,1.433600e-05
0,1024,32,64,stream-6,1.433600e-05
0,1024,32,64,stream-7,4.505600e-05
0,1024,32,64,stream-5,1.433600e-05
0,1024,32,64,stream-26,1.308800e-05
0,1024,32,64,stream-19,1.433600e-05
0,1024,32,64,stream-9,1.318400e-05
0,1024,32,64,stream-11,1.433600e-05
0,1024,32,64,stream-28,1.372800e-05
0,1024,32,64,stream-24,1.404800e-05
0,1024,32,64,stream-4,1.433600e-05
0,1024,32,64,stream-3,1.433600e-05
0,1024,32,64,stream-17,1.420800e-05
0,1024,32,64,stream-2,1.516800e-05
0,1024,32,64,stream-20,1.344000e-05
0,1024,32,64,stream-1,1.478400e-05
0,1024,32,64,stream-0,1.843200e-05
0,1024,32,64,stream-13,1.417600e-05
0,1024,32,64,stream-23,1.270400e-05
0,1024,32,64,stream-14,1.427200e-05
0,1024,32,64,stream-25,1.433600e-05
0,1024,32,64,stream-22,1.302400e-05
0,1024,32,64,stream-18,1.424000e-05
0,1024,32,64,stream-21,1.276800e-05
0,1024,32,64,stream-27,1.264000e-05
0,1024,32,128,total,7.137920e-04
0,1024,32,128,stream-31,2.044800e-05
0,1024,32,128,stream-30,1.417600e-05
0,1024,32,128,stream-12,1.264000e-05
0,1024,32,128,stream-16,1.356800e-05
0,1024,32,128,stream-10,1.315200e-05
0,1024,32,128,stream-8,1.363200e-05
0,1024,32,128,stream-29,1.305600e-05
0,1024,32,128,stream-15,1.270400e-05
0,1024,32,128,stream-6,1.404800e-05
0,1024,32,128,stream-7,1.260800e-05
0,1024,32,128,stream-5,1.433600e-05
0,1024,32,128,stream-26,1.353600e-05
0,1024,32,128,stream-19,1.286400e-05
0,1024,32,128,stream-9,1.433600e-05
0,1024,32,128,stream-11,1.299200e-05
0,1024,32,128,stream-28,1.424000e-05
0,1024,32,128,stream-24,1.315200e-05
0,1024,32,128,stream-4,1.302400e-05
0,1024,32,128,stream-3,1.424000e-05
0,1024,32,128,stream-17,1.347200e-05
0,1024,32,128,stream-2,1.292800e-05
0,1024,32,128,stream-20,1.241600e-05
0,1024,32,128,stream-1,1.475200e-05
0,1024,32,128,stream-0,1.750400e-05
0,1024,32,128,stream-13,1.260800e-05
0,1024,32,128,stream-23,1.414400e-05
0,1024,32,128,stream-14,1.433600e-05
0,1024,32,128,stream-25,1.228800e-05
0,1024,32,128,stream-22,1.382400e-05
0,1024,32,128,stream-18,1.228800e-05
0,1024,32,128,stream-21,1.276800e-05
0,1024,32,128,stream-27,1.398400e-05
0,1024,32,256,total,7.226880e-04
0,1024,32,256,stream-31,1.843200e-05
0,1024,32,256,stream-30,1.302400e-05
0,1024,32,256,stream-12,1.315200e-05
0,1024,32,256,stream-16,1.398400e-05
0,1024,32,256,stream-10,1.379200e-05
0,1024,32,256,stream-8,1.436800e-05
0,1024,32,256,stream-29,1.363200e-05
0,1024,32,256,stream-15,1.331200e-05
0,1024,32,256,stream-6,1.302400e-05
0,1024,32,256,stream-7,1.404800e-05
0,1024,32,256,stream-5,1.452800e-05
0,1024,32,256,stream-26,1.344000e-05
0,1024,32,256,stream-19,1.328000e-05
0,1024,32,256,stream-9,1.433600e-05
0,1024,32,256,stream-11,1.430400e-05
0,1024,32,256,stream-28,1.372800e-05
0,1024,32,256,stream-24,1.286400e-05
0,1024,32,256,stream-4,1.507200e-05
0,1024,32,256,stream-3,1.376000e-05
0,1024,32,256,stream-17,1.401600e-05
0,1024,32,256,stream-2,1.433600e-05
0,1024,32,256,stream-20,1.273600e-05
0,1024,32,256,stream-1,1.459200e-05
0,1024,32,256,stream-0,1.638400e-05
0,1024,32,256,stream-13,1.289600e-05
0,1024,32,256,stream-23,1.433600e-05
