rep,size,num_streams,block_size,section,dur
10,1024,2,1024,total,8.208000e-05
10,1024,4,32,total,1.126400e-04
10,1024,4,64,total,1.117120e-04
10,1024,4,128,total,1.116160e-04
10,1024,4,256,total,1.113920e-04
10,1024,4,512,total,1.126400e-04
10,1024,4,1024,total,1.125120e-04
10,1024,8,32,total,1.699840e-04
10,1024,8,64,total,1.941120e-04
10,1024,8,128,total,1.682880e-04
10,1024,8,256,total,1.695680e-04
10,1024,8,512,total,1.701120e-04
10,1024,8,1024,total,1.695360e-04
10,1024,16,32,total,2.840640e-04
10,1024,16,64,total,3.024320e-04
10,1024,16,128,total,2.846720e-04
10,1024,16,256,total,2.846720e-04
10,1024,16,512,total,2.847680e-04
10,1024,16,1024,total,3.092480e-04
10,1024,32,32,total,5.215680e-04
10,1024,32,64,total,5.242240e-04
10,1024,32,128,total,5.201280e-04
10,1024,32,256,total,5.449600e-04
10,1024,32,512,total,5.490880e-04
10,1024,32,1024,total,5.285120e-04
10,1024,64,32,total,1.030912e-03
10,1024,64,64,total,1.019296e-03
10,1024,64,128,total,1.056224e-03
10,1024,64,256,total,9.884480e-04
10,1024,64,512,total,9.892160e-04
10,1024,64,1024,total,9.830400e-04
11,1024,1,32,total,6.576000e-05
11,1024,1,64,total,6.236800e-05
11,1024,1,128,total,6.211200e-05
11,1024,1,256,total,6.188800e-05
11,1024,1,512,total,6.201600e-05
11,1024,1,1024,total,6.758400e-05
11,1024,2,32,total,7.715200e-05
11,1024,2,64,total,7.654400e-05
11,1024,2,128,total,7.747200e-05
11,1024,2,256,total,7.616000e-05
11,1024,2,512,total,7.644800e-05
11,1024,2,1024,total,7.712000e-05
11,1024,4,32,total,1.068800e-04
11,1024,4,64,total,1.048000e-04
11,1024,4,128,total,1.044480e-04
11,1024,4,256,total,1.064960e-04
11,1024,4,512,total,1.055360e-04
11,1024,4,1024,total,1.054720e-04
11,1024,8,32,total,1.638400e-04
11,1024,8,64,total,1.897600e-04
11,1024,8,128,total,1.617920e-04
11,1024,8,256,total,1.607680e-04
11,1024,8,512,total,1.597120e-04
11,1024,8,1024,total,1.614080e-04
11,1024,16,32,total,2.747520e-04
