rep,algo,x,y,section,dur
7,v1,16,16,kernel,4.352000e-04
7,stock,24,24,total,2.055008e-03
7,stock,24,24,kernel,2.662400e-04
7,v1,24,24,total,1.950752e-03
7,v1,24,24,kernel,4.331520e-04
7,stock,16,32,total,2.029184e-03
7,stock,16,32,kernel,2.519040e-04
7,v1,16,32,total,1.954432e-03
7,v1,16,32,kernel,4.311040e-04
7,stock,32,32,total,4.424032e-03
7,stock,32,32,kernel,2.652160e-04
7,v1,32,32,total,1.993280e-03
7,v1,32,32,kernel,4.280320e-04
8,cpu,,,total,2.286982e-01
8,stock,8,4,total,5.151392e-03
8,stock,8,4,kernel,2.570240e-04
8,v1,8,4,total,1.981920e-03
8,v1,8,4,kernel,4.372480e-04
8,stock,8,8,total,2.009472e-03
8,stock,8,8,kernel,2.529280e-04
8,v1,8,8,total,2.674880e-03
8,v1,8,8,kernel,4.403200e-04
8,stock,8,16,total,7.142912e-03
8,stock,8,16,kernel,2.529280e-04
8,v1,8,16,total,1.977056e-03
8,v1,8,16,kernel,4.392960e-04
8,stock,16,16,total,2.003136e-03
8,stock,16,16,kernel,2.508800e-04
8,v1,16,16,total,2.641344e-03
8,v1,16,16,kernel,4.341760e-04
8,stock,24,24,total,2.067680e-03
8,stock,24,24,kernel,2.662400e-04
8,v1,24,24,total,3.200384e-03
8,v1,24,24,kernel,4.382720e-04
8,stock,16,32,total,2.025248e-03
8,stock,16,32,kernel,2.529280e-04
8,v1,16,32,total,4.860096e-03
8,v1,16,32,kernel,4.290560e-04
8,stock,32,32,total,2.053600e-03
8,stock,32,32,kernel,2.631680e-04
8,v1,32,32,total,1.945216e-03
8,v1,32,32,kernel,4.270080e-04
9,cpu,,,total,2.284109e-01
9,stock,8,4,total,4.542624e-03
9,stock,8,4,kernel,2.570240e-04
9,v1,8,4,total,1.953312e-03
9,v1,8,4,kernel,4.362240e-04
9,stock,8,8,total,4.145152e-03
9,stock,8,8,kernel,2.519040e-04
9,v1,8,8,total,1.975296e-03
9,v1,8,8,kernel,4.403200e-04
9,stock,8,16,total,3.302336e-03
9,stock,8,16,kernel,2.529280e-04
9,v1,8,16,total,1.983424e-03
9,v1,8,16,kernel,4.403200e-04
9,stock,16,16,total,4.308064e-03
9,stock,16,16,kernel,2.508800e-04
9,v1,16,16,total,1.982272e-03
